{'192.168.1.4': '-81', '192.168.1.6': '-67', '192.168.1.21': '-74', 'location': 'Kitchen'}
{'192.168.1.4': '0', '192.168.1.6': '-78', '192.168.1.21': '-61', 'location': 'Kitchen'}
{'192.168.1.4': '-91', '192.168.1.6': '-62', '192.168.1.21': '-75', 'location': 'Kitchen'}
{'192.168.1.4': '-92', '192.168.1.6': '-77', '192.168.1.21': '-61', 'location': 'Kitchen'}
{'192.168.1.4': '-100', '192.168.1.6': '-65', '192.168.1.21': '-60', 'location': 'Kitchen'}
{'192.168.1.4': '-77', '192.168.1.6': '-75', '192.168.1.21': '0', 'location': 'Kitchen'}
{'192.168.1.4': '0', '192.168.1.6': '-77', '192.168.1.21': '-74', 'location': 'Kitchen'}
{'192.168.1.4': '0', '192.168.1.6': '-76', '192.168.1.21': '-60', 'location': 'Kitchen'}
{'192.168.1.4': '0', '192.168.1.6': '-76', '192.168.1.21': '0', 'location': 'Kitchen'}
{'192.168.1.4': '-101', '192.168.1.6': '-79', '192.168.1.21': '0', 'location': 'Kitchen'}
{'192.168.1.4': '-90', '192.168.1.6': '-80', '192.168.1.21': '-75', 'location': 'Kitchen'}
{'192.168.1.4': '-84', '192.168.1.6': '0', '192.168.1.21': '0', 'location': 'Bedroom'}
{'192.168.1.4': '-74', '192.168.1.6': '0', '192.168.1.21': '0', 'location': 'Bedroom'}
{'192.168.1.4': '-87', '192.168.1.6': '0', '192.168.1.21': '-81', 'location': 'Bedroom'}
{'192.168.1.4': '-80', '192.168.1.6': '0', '192.168.1.21': '0', 'location': 'Bedroom'}
{'192.168.1.4': '-71', '192.168.1.6': '0', '192.168.1.21': '-75', 'location': 'Bedroom'}
{'192.168.1.4': '-71', '192.168.1.6': '0', '192.168.1.21': '-92', 'location': 'Bedroom'}
{'192.168.1.4': '-80', '192.168.1.6': '-73', '192.168.1.21': '0', 'location': 'Bedroom'}
{'192.168.1.4': '-81', '192.168.1.6': '-97', '192.168.1.21': '-80', 'location': 'Bedroom'}
{'192.168.1.4': '-81', '192.168.1.6': '-73', '192.168.1.21': '0', 'location': 'Bedroom'}
{'192.168.1.4': '-65', '192.168.1.6': '0', '192.168.1.21': '-79', 'location': 'Bedroom'}
{'192.168.1.4': '-73', '192.168.1.6': '-97', '192.168.1.21': '-91', 'location': 'Bedroom'}
{'192.168.1.4': '-73', '192.168.1.6': '-75', '192.168.1.21': '-81', 'location': 'Bedroom'}
{'192.168.1.4': '0', '192.168.1.6': '-75', '192.168.1.21': '-80', 'location': 'Bedroom'}
